,author,min_estimated_sales,max_estimated_sales,original_language,genre_or_major_works,number_of_books,nationality,genere_original,sales
0,William Shakespeare,2 billion[1],4 billion[2],English,plays and poetry,42,English,Plays and poetry,4 billion[2]
1,Agatha Christie,2 billion[3],4 billion[2],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",85,English,Whodunits including the Miss Marple and Hercule Poirot series,4 billion[2]
2,Barbara Cartland,500 million[4],1 billion[5],English,romance,723,English,Romance,1 billion[5]
3,Danielle Steel,500 million[6],800 million[7],English,romance,179,American,Romance,800 million[7]
4,Harold Robbins,750 million[8],750 million[9],English,adventure,23,American,Adventure,750 million[9]
5,Enid Blyton,blank,600 million[12],English,"children's literature, noddy, the famous five, the secret seven",800,English,"Children's literature, Noddy, The Famous Five, The Secret Seven",600 million[12]
6,Sidney Sheldon,370 million[13],600 million[14],English,suspense,21,American,Suspense,600 million[14]
7,J. K. Rowling,500 million[15],500 million[15],English,"fantasy, fiction",15,British,"Harry Potter, Fantastic Beasts and Where to Find Them, Cormoran Strike, fantasy, crime fiction",500 million[15]
8,Gilbert Patten,125 million[16],500 million[17],English,adolescent adventures,209,American,Adolescent adventures,500 million[17]
9,Dr. Seuss,100 million[18],500 million[19],English,children's literature,44,American,Children's literature,500 million[19]
10,Jackie Collins,250 million[25],400 million[26],English,romance,25,English,Romance,400 million[26]
11,Horatio Alger,200 million[27],400 million[28],English,"romance, adventure, fiction",135,American,Dime novels,400 million[28]
12,R. L. Stine,100 million[29],400 million[30],English,"goosebumps series, fear street series, horror, comedy",430+,American,"Goosebumps series, Fear Street series, horror, comedy",400 million[30]
13,Dean Koontz,325 million[31],400 million[32],English,"horror, thriller, science fiction, fantasy",91,American,"Horror, thriller, science fiction, fantasy",400 million[32]
14,Nora Roberts,145 million[33],400 million[34],English,romance,200+,American,Romance,400 million[34]
15,Stephen King,300 million[35],350 million[36],English,"horror, science fiction, fantasy, it, the shining, the stand, pet sematary, salem's lot, the green mile",77,American,"Horror, science fiction, fantasy, It, The Shining, The Stand, Pet Sematary, Salem's Lot, The Green Mile",350 million[36]
16,Jeffrey Archer,250 million[39],330 million[40],English,"saga, thriller, short stories, kane and abel, the clifton chronicles",33,English,"Saga, thriller, short stories, Kane and Abel, The Clifton Chronicles",330 million[40]
17,Louis L'Amour,230 million[41],330 million[42],English,western,101,American,Western,330 million[42]
18,Erle Stanley Gardner,100 million[46],325 million[47],English,"mystery, perry mason",140,American,"Mystery, Perry Mason",325 million[47]
19,Edgar Wallace,blank,300 million[48],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",175,English,Detective,300 million[48]
20,Janet Dailey,300 million[52],300 million[53],English,romance,93,American,Romance,300 million[53]
21,Robert Ludlum,110 million[54],290 million[55],English,"detective, crime fiction, espionage, mystery, suspense",40,American,"Espionage, Jason Bourne",290 million[55]
22,James Patterson,150 million[69],275 million[70],English,"thriller, alex cross",98,American,"Thriller, Alex Cross",275 million[70]
23,Stan and Jan Berenstain,200 million[73],260 million[74],English,berenstain bears,300+,American,Berenstain Bears,260 million[74]
24,Roald Dahl,200 million[75],250 million[76],English,children's literature,50,British,Children's literature,250 million[76]
25,John Grisham,100 million[77],250 million[78],English,legal thriller,22,American,Legal thriller,250 million[78]
26,Zane Grey,blank,250 million[79],English,western,blank,American,Western,250 million[79]
27,Irving Wallace,blank,250 million[80],English,suspense,blank,American,Suspense,250 million[80]
28,J. R. R. Tolkien,200 million[81],250 million[82],English,"adventure, fiction, fantasy",36,English,"The Lord of the Rings, The Hobbit, classical fantasy",250 million[82]
29,Carter Brown,100 million[86],120 million[87],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",blank,Australian,Detective,120 million[87]
30,Mickey Spillane,100 million[88],200 million[89],English,"whodunits, detective, crime fiction, fiction, mystery, suspense",blank,American,"Detective, Mike Hammer",200 million[89]
31,C. S. Lewis,100 million[90],200 million[91],English,"children's literature, fiction, theology, fantasy",38,British,"The Chronicles of Narnia, fantasy, popular theology",200 million[91]
32,Dan Brown,200 million,200 million[95],English,"thriller, adventure, fiction",7[96],American,"Thriller, Robert Langdon",200 million[95]
33,Ann M. Martin,172 million[97],180 million[98],English,fiction,335,American,The Baby-sitters Club,180 million[98]
34,Arthur Hailey,150 million[100],170 million[101],English,thriller,11,British/Canadian,Thriller,170 million[101]
35,Beatrix Potter,100 million[103],150 million[104],English,"children's literature, fiction, illustrated children's books",23,English,Peter Rabbit,150 million[104]
36,Michael Crichton,150 million[105],150 million[106],English,techno thriller,25,American,Techno thriller,150 million[106]
37,Richard Scarry,100 million[107],150 million[108],English,"children's literature, fiction, illustrated children's books",250,American,Illustrated children's books,150 million[108]
38,Clive Cussler,40 million[109],150 million[110],English,"adventure, dirk pitt",37,American,"Adventure, Dirk Pitt",150 million[110]
39,Alistair MacLean,150 million[111],200 million[112],English,"adventure, thriller, war stories",32,British,"Adventure, thriller, war stories",200 million[112]
40,Ken Follett,90 million[113],150 million[114],English,"spy thriller, historical thriller",30,British,"Spy thriller, historical thriller",150 million[114]
41,Debbie Macomber,60 million[117],140 million[118],English,romance,blank,American,Romance,140 million[118]
42,EL James,100 million,125 million,English,"romance, fiction",3,British,Fifty Shades of Grey,125 million
43,Catherine Cookson,100 million[121],120 million[122],English,romance,103,British,Romance,120 million[122]
